Date,Open,High,Low,Close,Adj Close,Volume
2021-06-14,64.360001,64.419998,63.759998,63.919998,61.760815,903100
2021-06-15,64.040001,64.900002,63.790001,64.519997,62.340546,951900
2021-06-16,65.320000,65.639999,64.099998,64.220001,62.050682,2309700
2021-06-17,64.180000,64.930000,64.129997,64.480003,62.301903,1126500
2021-06-18,64.220001,64.220001,62.500000,62.540001,60.427433,1990500
2021-06-21,62.590000,63.779999,62.270000,63.709999,61.557911,1305300
2021-06-22,62.259998,63.090000,61.810001,61.880001,59.789730,2212800
2021-06-23,61.880001,61.880001,60.900002,61.080002,59.016750,1662000
2021-06-24,61.000000,61.689999,60.810001,61.380001,59.306614,1091400
2021-06-25,61.240002,61.799999,61.139999,61.660000,59.577152,1485700
2021-06-28,61.889999,62.250000,61.520000,61.720001,59.635128,991700
2021-06-29,61.709999,62.090000,60.369999,60.639999,58.591610,1047400
2021-06-30,60.590000,60.790001,60.110001,60.430000,58.388706,797800
2021-07-01,60.669998,61.730000,60.459999,61.389999,59.316273,669700
2021-07-02,61.389999,61.720001,61.119999,61.580002,59.499863,519900
2021-07-06,61.340000,61.790001,60.790001,61.709999,59.625465,878800
2021-07-07,61.889999,61.889999,61.080002,61.820000,59.731754,895000
2021-07-08,61.560001,62.080002,60.770000,61.810001,59.722088,830100
2021-07-09,61.860001,62.009998,60.950001,61.790001,59.702766,1384800
2021-07-12,61.669998,62.080002,61.459999,61.900002,59.809052,939900
2021-07-13,61.750000,62.150002,61.240002,61.490002,59.412899,627400
2021-07-14,61.570000,62.779999,61.099998,62.310001,60.205200,1041800
2021-07-15,62.020000,63.419998,62.020000,63.230000,61.094124,1148800
2021-07-16,63.419998,64.800003,63.119999,64.559998,62.379196,1651600
2021-07-19,64.190002,64.720001,63.400002,64.110001,61.944397,2679000
2021-07-20,64.410004,64.739998,63.700001,64.000000,61.838112,2488400
2021-07-21,64.000000,64.430000,63.730000,63.910000,61.751152,1302300
2021-07-22,63.980000,64.309998,63.380001,64.139999,61.973381,1322500
2021-07-23,64.139999,65.089996,63.860001,65.080002,62.881626,1342800
2021-07-26,64.940002,65.260002,64.449997,65.150002,62.949268,1695100
2021-07-27,65.110001,66.529999,64.820000,66.300003,64.060417,1202800
2021-07-28,66.300003,66.300003,64.970001,65.209999,63.007240,1054700
2021-07-29,65.230003,65.779999,65.169998,65.360001,63.152176,1085100
2021-07-30,65.230003,65.870003,65.019997,65.220001,63.016903,2449500
2021-08-02,65.650002,66.169998,65.120003,65.809998,63.586971,922500
2021-08-03,65.919998,66.449997,65.620003,66.379997,64.137726,877700
2021-08-04,66.080002,66.339996,65.500000,66.239998,64.002441,1249400
2021-08-05,66.870003,67.089996,66.120003,67.050003,64.785080,1180800
2021-08-06,67.010002,67.300003,66.660004,66.720001,64.466232,886600
2021-08-09,66.720001,67.059998,66.410004,66.739998,64.485550,850000
2021-08-10,66.669998,67.139999,66.400002,66.919998,64.659477,686600
2021-08-11,67.019997,67.830002,66.870003,67.550003,65.268204,1185200
2021-08-12,67.580002,67.699997,67.230003,67.410004,65.132927,1016000
2021-08-13,67.419998,68.139999,67.379997,68.099998,65.799606,905500
2021-08-16,68.230003,69.000000,68.110001,68.800003,66.475975,1153200
2021-08-17,68.750000,69.059998,68.379997,68.970001,66.640228,1392700
2021-08-18,68.910004,69.199997,68.430000,68.870003,66.543610,2106400
2021-08-19,68.370003,68.930000,68.209999,68.599998,66.801659,1897600
2021-08-20,68.400002,69.290001,68.199997,69.260002,67.444359,1475500
2021-08-23,69.239998,69.320000,68.519997,68.910004,67.103531,1577800
2021-08-24,68.910004,68.930000,67.970001,68.480003,66.684814,1669800
2021-08-25,68.410004,69.080002,68.180000,68.860001,67.054848,1143800
2021-08-26,68.879997,69.139999,68.680000,69.110001,67.298294,1651900
2021-08-27,69.180000,69.449997,68.250000,68.309998,66.519257,1448100
2021-08-30,68.150002,68.610001,67.839996,67.910004,66.129753,936400
2021-08-31,67.900002,68.629997,67.839996,68.449997,66.655586,1827200
2021-09-01,68.570000,68.820000,68.129997,68.620003,66.821136,947600
2021-09-02,68.730003,69.180000,68.620003,68.949997,67.142479,1018300
2021-09-03,68.919998,69.089996,68.269997,68.500000,66.704277,903800
2021-09-07,68.379997,68.449997,67.110001,67.230003,65.467575,1310400
2021-09-08,67.220001,68.660004,67.099998,68.410004,66.616646,1070100
2021-09-09,68.389999,68.550003,67.809998,68.190002,66.402405,777100
2021-09-10,68.160004,68.160004,66.610001,66.690002,64.941727,912400
2021-09-13,67.290001,67.580002,66.489998,66.580002,64.834618,944600
2021-09-14,66.809998,67.000000,65.599998,65.760002,64.036110,1013600
2021-09-15,64.610001,65.610001,64.160004,64.779999,63.081795,2230500
2021-09-16,64.750000,65.160004,64.440002,64.550003,62.857834,1257700
2021-09-17,64.099998,65.160004,63.900002,64.199997,62.517002,3392600
2021-09-20,64.169998,65.470001,63.580002,64.260002,62.575436,1738900
2021-09-21,64.290001,64.669998,63.680000,63.869999,62.195656,1661800
2021-09-22,64.110001,64.239998,62.570000,62.830002,61.182922,1532700
2021-09-23,63.080002,64.169998,62.840000,63.320000,61.660076,1610000
2021-09-24,64.290001,64.660004,63.119999,63.150002,61.494534,1398900
2021-09-27,63.389999,64.400002,62.959999,63.090000,61.436104,1418100
